Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Recommended_Major
b,c,Yes,No,No,Yes,Yes,No,Yes,No,Higher Institute of Administrative Sciences
b,c,Yes,No,Yes,Yes,Yes,No,Yes,No,Higher Institute of Administrative Sciences
c,d,No,No,No,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,a,No,No,No,Yes,Yes,No,No,Yes,Higher Institute of Administrative Sciences
b,d,No,No,No,No,Yes,No,Yes,No,Higher Institute of Administrative Sciences
b,c,Yes,No,No,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,c,Yes,No,No,Yes,Yes,Yes,No,No,Higher Institute of Administrative Sciences
b,a,Yes,No,No,No,Yes,No,Yes,No,Higher Institute of Administrative Sciences
a,d,Yes,No,No,No,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,c,No,No,Yes,Yes,Yes,Yes,Yes,No,Higher Institute of Administrative Sciences
b,a,No,No,Yes,Yes,No,No,No,No,Higher Institute of Administrative Sciences
b,d,Yes,No,No,Yes,No,No,Yes,No,Higher Institute of Administrative Sciences
b,b,No,No,Yes,Yes,Yes,Yes,Yes,No,Higher Institute of Administrative Sciences
b,c,No,No,Yes,No,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,c,No,No,No,Yes,Yes,Yes,No,No,Higher Institute of Administrative Sciences
b,c,No,No,No,Yes,Yes,Yes,No,Yes,Higher Institute of Administrative Sciences
b,a,No,No,No,Yes,No,Yes,No,No,Higher Institute of Administrative Sciences
b,d,No,No,No,No,Yes,Yes,No,Yes,Higher Institute of Administrative Sciences
b,c,Yes,No,Yes,No,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
c,a,No,No,Yes,Yes,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
a,a,No,No,No,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,a,No,No,No,No,No,Yes,No,Yes,Higher Institute of Administrative Sciences
b,a,Yes,No,Yes,Yes,No,No,No,No,Higher Institute of Administrative Sciences
b,b,Yes,No,No,Yes,No,Yes,No,No,Higher Institute of Administrative Sciences
b,c,Yes,No,No,Yes,No,No,Yes,No,Higher Institute of Administrative Sciences
b,d,No,No,No,Yes,Yes,No,No,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,No,No,No,No,No,Yes,Higher Institute of Administrative Sciences
b,a,Yes,No,Yes,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,d,No,No,No,Yes,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,a,No,No,Yes,Yes,Yes,Yes,Yes,No,Higher Institute of Administrative Sciences
b,b,No,No,No,Yes,Yes,Yes,Yes,No,Higher Institute of Administrative Sciences
b,c,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,c,Yes,No,No,Yes,Yes,No,No,Yes,Higher Institute of Administrative Sciences
b,a,No,No,Yes,No,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,b,No,No,Yes,Yes,Yes,Yes,No,No,Higher Institute of Administrative Sciences
b,c,No,No,No,Yes,No,Yes,No,No,Higher Institute of Administrative Sciences
b,a,No,No,Yes,Yes,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,No,No,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,a,No,No,Yes,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,No,Yes,No,No,No,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,Yes,Yes,No,No,Yes,Higher Institute of Administrative Sciences
b,c,Yes,No,No,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,No,No,No,No,No,Yes,Higher Institute of Administrative Sciences
b,d,No,No,No,No,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
a,a,No,No,Yes,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,b,No,No,No,Yes,Yes,No,No,Yes,Higher Institute of Administrative Sciences
b,d,No,No,Yes,No,Yes,No,No,Yes,Higher Institute of Administrative Sciences
b,a,No,No,No,No,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,c,No,No,Yes,No,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,a,No,No,No,No,Yes,Yes,No,Yes,Higher Institute of Administrative Sciences
b,a,Yes,No,No,Yes,Yes,Yes,No,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,No,No,Yes,No,Yes,No,Higher Institute of Administrative Sciences
b,c,No,No,Yes,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,Yes,Yes,Yes,No,No,No,Higher Institute of Administrative Sciences
b,d,No,No,No,No,No,No,No,Yes,Higher Institute of Administrative Sciences
b,a,No,No,Yes,Yes,No,No,No,Yes,Higher Institute of Administrative Sciences
b,c,No,No,Yes,No,Yes,Yes,Yes,No,Higher Institute of Administrative Sciences
c,d,Yes,No,No,Yes,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,d,No,No,Yes,No,Yes,No,Yes,No,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,Yes,No,No,No,No,Higher Institute of Administrative Sciences
a,a,Yes,No,No,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,No,Yes,No,Yes,No,No,Higher Institute of Administrative Sciences
b,d,No,No,No,No,Yes,No,No,Yes,Higher Institute of Administrative Sciences
a,d,No,No,Yes,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,a,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
c,c,No,No,No,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,c,No,No,Yes,Yes,Yes,No,Yes,No,Higher Institute of Administrative Sciences
b,a,Yes,No,No,Yes,No,No,Yes,No,Higher Institute of Administrative Sciences
b,d,Yes,No,No,No,Yes,Yes,Yes,No,Higher Institute of Administrative Sciences
b,d,No,No,No,Yes,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,b,No,No,No,Yes,Yes,No,Yes,No,Higher Institute of Administrative Sciences
c,d,Yes,No,No,No,No,No,Yes,Yes,Higher Institute of Administrative Sciences
a,c,Yes,No,No,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,d,No,No,No,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,c,Yes,No,Yes,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,a,No,No,No,No,No,No,Yes,No,Higher Institute of Administrative Sciences
b,b,Yes,No,Yes,Yes,No,Yes,No,No,Higher Institute of Administrative Sciences
c,a,No,No,Yes,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,b,No,No,Yes,Yes,Yes,No,No,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
a,a,No,No,Yes,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,d,No,No,No,Yes,No,Yes,No,Yes,Higher Institute of Administrative Sciences
c,d,Yes,No,No,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,c,No,No,No,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,c,Yes,No,No,No,Yes,Yes,No,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,No,No,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,No,Yes,No,Yes,Yes,No,Higher Institute of Administrative Sciences
b,b,Yes,No,Yes,No,No,No,No,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,No,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,c,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,a,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
c,c,No,No,No,Yes,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,No,Yes,Yes,Yes,No,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,c,Yes,No,Yes,Yes,Yes,No,No,Yes,Higher Institute of Administrative Sciences
b,c,No,No,No,Yes,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,c,Yes,No,No,No,Yes,Yes,Yes,No,Higher Institute of Administrative Sciences
b,d,Yes,No,No,Yes,Yes,Yes,Yes,No,Higher Institute of Administrative Sciences
b,c,No,No,No,No,Yes,No,Yes,No,Higher Institute of Administrative Sciences
b,d,No,No,No,Yes,Yes,Yes,No,No,Higher Institute of Administrative Sciences
b,b,No,No,No,Yes,Yes,Yes,No,No,Higher Institute of Administrative Sciences
b,d,No,No,No,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,b,No,No,No,No,No,No,No,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,No,Yes,Yes,No,No,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,Yes,No,Yes,No,Yes,Higher Institute of Administrative Sciences
b,a,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,b,No,No,No,No,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,b,No,No,Yes,No,No,No,No,Yes,Higher Institute of Administrative Sciences
b,d,No,No,Yes,No,Yes,Yes,No,No,Higher Institute of Administrative Sciences
b,b,Yes,No,No,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,d,No,No,Yes,No,Yes,No,No,No,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,c,No,No,Yes,No,No,Yes,No,Yes,Higher Institute of Administrative Sciences
b,c,No,No,Yes,No,Yes,No,No,Yes,Higher Institute of Administrative Sciences
b,c,No,No,No,No,Yes,Yes,No,Yes,Higher Institute of Administrative Sciences
b,d,No,No,No,Yes,Yes,No,Yes,No,Higher Institute of Administrative Sciences
a,c,No,No,Yes,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,d,No,No,Yes,No,No,No,No,No,Higher Institute of Administrative Sciences
b,c,No,No,No,No,Yes,Yes,Yes,No,Higher Institute of Administrative Sciences
b,d,No,No,No,No,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,d,No,No,No,No,No,Yes,No,No,Higher Institute of Administrative Sciences
b,b,No,No,Yes,Yes,No,Yes,Yes,No,Higher Institute of Administrative Sciences
b,c,No,No,Yes,No,No,No,Yes,No,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,No,Yes,No,No,Yes,Higher Institute of Administrative Sciences
a,d,No,No,Yes,No,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,d,No,No,Yes,No,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,a,Yes,No,No,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,d,No,No,Yes,Yes,No,No,Yes,No,Higher Institute of Administrative Sciences
b,a,No,No,No,No,Yes,Yes,Yes,No,Higher Institute of Administrative Sciences
b,a,Yes,No,Yes,No,Yes,No,No,Yes,Higher Institute of Administrative Sciences
b,a,No,No,No,No,No,Yes,Yes,No,Higher Institute of Administrative Sciences
b,d,Yes,No,No,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
a,c,No,No,No,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,c,No,No,Yes,No,No,No,No,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,No,Yes,Yes,No,No,No,Higher Institute of Administrative Sciences
b,c,No,No,No,Yes,Yes,No,No,No,Higher Institute of Administrative Sciences
b,d,Yes,No,No,Yes,Yes,Yes,No,No,Higher Institute of Administrative Sciences
b,a,No,No,No,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,a,Yes,No,Yes,No,No,No,No,Yes,Higher Institute of Administrative Sciences
b,a,Yes,No,Yes,Yes,No,No,No,Yes,Higher Institute of Administrative Sciences
b,c,No,No,No,No,No,Yes,No,Yes,Higher Institute of Administrative Sciences
b,a,Yes,No,No,No,Yes,No,No,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,No,No,Yes,Yes,No,No,Higher Institute of Administrative Sciences
a,d,Yes,No,Yes,No,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,c,Yes,No,Yes,Yes,No,Yes,No,Yes,Higher Institute of Administrative Sciences
c,d,Yes,No,No,Yes,No,No,No,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
c,d,No,No,No,Yes,Yes,No,No,Yes,Higher Institute of Administrative Sciences
b,a,No,No,Yes,No,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,d,No,No,No,No,No,Yes,Yes,No,Higher Institute of Administrative Sciences
c,d,Yes,No,No,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,d,No,No,No,No,No,No,Yes,No,Higher Institute of Administrative Sciences
a,a,No,No,No,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,b,No,No,Yes,Yes,No,Yes,No,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,Yes,Yes,Yes,Yes,No,No,Higher Institute of Administrative Sciences
c,d,No,No,No,No,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,a,No,No,No,No,No,No,No,Yes,Higher Institute of Administrative Sciences
b,c,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,c,Yes,No,No,Yes,No,Yes,Yes,No,Higher Institute of Administrative Sciences
b,c,Yes,No,No,Yes,Yes,Yes,No,Yes,Higher Institute of Administrative Sciences
a,c,Yes,No,No,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,d,No,No,No,Yes,Yes,Yes,Yes,No,Higher Institute of Administrative Sciences
b,b,No,No,No,Yes,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,c,Yes,No,No,Yes,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
a,d,No,No,No,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,a,Yes,No,No,No,No,No,Yes,No,Higher Institute of Administrative Sciences
b,a,Yes,No,Yes,No,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,d,No,No,Yes,Yes,Yes,Yes,No,No,Higher Institute of Administrative Sciences
b,a,No,No,No,Yes,Yes,No,Yes,No,Higher Institute of Administrative Sciences
b,a,No,No,Yes,Yes,No,No,Yes,No,Higher Institute of Administrative Sciences
b,a,Yes,No,Yes,No,Yes,No,Yes,No,Higher Institute of Administrative Sciences
b,c,No,No,No,No,No,No,No,Yes,Higher Institute of Administrative Sciences
b,c,No,No,Yes,No,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,a,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Higher Institute of Administrative Sciences
b,b,No,No,Yes,Yes,Yes,Yes,No,Yes,Higher Institute of Administrative Sciences
b,a,No,No,Yes,No,No,Yes,Yes,No,Higher Institute of Administrative Sciences
c,d,No,No,No,No,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,c,No,No,No,Yes,No,No,No,Yes,Higher Institute of Administrative Sciences
b,d,No,No,Yes,No,No,No,Yes,Yes,Higher Institute of Administrative Sciences
a,a,Yes,No,Yes,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,No,No,Yes,Yes,No,Higher Institute of Administrative Sciences
b,d,No,No,Yes,Yes,No,Yes,No,Yes,Higher Institute of Administrative Sciences
b,c,No,No,Yes,Yes,No,No,No,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,No,No,No,Yes,No,No,Higher Institute of Administrative Sciences
c,b,No,No,Yes,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
a,d,Yes,No,Yes,No,No,No,Yes,Yes,Higher Institute of Administrative Sciences
c,d,Yes,No,No,No,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,c,Yes,No,No,No,No,Yes,No,Yes,Higher Institute of Administrative Sciences
b,a,No,No,No,No,Yes,No,Yes,No,Higher Institute of Administrative Sciences
b,a,Yes,No,No,No,No,No,No,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,No,No,No,Yes,No,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,No,No,Yes,Yes,No,Yes,Higher Institute of Administrative Sciences
b,c,Yes,No,No,Yes,Yes,No,No,No,Higher Institute of Administrative Sciences
b,a,Yes,No,No,Yes,Yes,No,Yes,No,Higher Institute of Administrative Sciences
b,b,No,No,No,No,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,c,No,No,No,No,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,c,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,a,No,No,No,Yes,No,No,Yes,No,Higher Institute of Administrative Sciences
c,c,No,No,No,Yes,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,a,Yes,No,No,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,a,Yes,No,No,Yes,No,No,No,No,Higher Institute of Administrative Sciences
b,d,Yes,No,No,Yes,Yes,Yes,No,Yes,Higher Institute of Administrative Sciences
b,a,No,No,Yes,No,Yes,Yes,No,Yes,Higher Institute of Administrative Sciences
c,d,Yes,No,No,Yes,Yes,No,No,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,No,Yes,Yes,No,Yes,No,Higher Institute of Administrative Sciences
b,b,Yes,No,Yes,No,No,No,Yes,No,Higher Institute of Administrative Sciences
b,a,No,No,Yes,Yes,Yes,Yes,No,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,d,No,No,Yes,No,No,No,Yes,No,Higher Institute of Administrative Sciences
b,b,No,No,Yes,Yes,No,No,Yes,No,Higher Institute of Administrative Sciences
b,c,No,No,No,No,No,Yes,Yes,No,Higher Institute of Administrative Sciences
c,d,No,No,No,No,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,c,No,No,No,Yes,No,Yes,Yes,No,Higher Institute of Administrative Sciences
b,b,Yes,No,No,Yes,Yes,Yes,No,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,No,No,No,No,Yes,No,Higher Institute of Administrative Sciences
a,d,Yes,No,No,Yes,No,Yes,No,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,No,Yes,No,No,No,Yes,Higher Institute of Administrative Sciences
b,c,No,No,No,No,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
a,d,No,No,No,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,No,No,Yes,No,Yes,Higher Institute of Administrative Sciences
b,a,Yes,No,Yes,Yes,Yes,No,No,Yes,Higher Institute of Administrative Sciences
b,c,Yes,No,No,No,No,No,No,Yes,Higher Institute of Administrative Sciences
b,c,Yes,No,No,No,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,c,Yes,No,No,Yes,No,No,No,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,No,No,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,a,Yes,No,No,Yes,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,a,No,No,No,No,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,b,No,No,No,No,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,a,Yes,No,No,Yes,No,Yes,Yes,No,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,No,No,Yes,No,No,Higher Institute of Administrative Sciences
a,d,Yes,No,No,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,a,No,No,No,Yes,No,No,No,No,Higher Institute of Administrative Sciences
b,d,Yes,No,No,No,No,No,Yes,No,Higher Institute of Administrative Sciences
b,d,No,No,Yes,Yes,No,No,No,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,Yes,Yes,Yes,No,Yes,No,Higher Institute of Administrative Sciences
a,d,Yes,No,Yes,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,b,No,No,Yes,Yes,No,No,No,No,Higher Institute of Administrative Sciences
b,c,Yes,No,Yes,Yes,No,No,No,Yes,Higher Institute of Administrative Sciences
c,d,No,No,No,Yes,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,c,No,No,No,No,No,No,No,No,Higher Institute of Administrative Sciences
b,c,Yes,No,No,Yes,No,No,No,No,Higher Institute of Administrative Sciences
a,d,Yes,No,Yes,Yes,No,Yes,No,Yes,Higher Institute of Administrative Sciences
b,a,No,No,Yes,Yes,Yes,No,Yes,No,Higher Institute of Administrative Sciences
b,a,No,No,Yes,No,Yes,No,No,Yes,Higher Institute of Administrative Sciences
b,c,No,No,Yes,No,No,Yes,Yes,No,Higher Institute of Administrative Sciences
b,c,No,No,Yes,Yes,No,No,Yes,No,Higher Institute of Administrative Sciences
b,c,No,No,No,Yes,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,No,No,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,d,No,No,Yes,Yes,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,No,No,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,d,No,No,Yes,No,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
c,b,No,No,Yes,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,c,No,No,Yes,No,Yes,No,Yes,No,Higher Institute of Administrative Sciences
b,a,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,a,No,No,Yes,No,Yes,Yes,Yes,No,Higher Institute of Administrative Sciences
b,b,Yes,No,Yes,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,Yes,Yes,No,No,Yes,No,Higher Institute of Administrative Sciences
b,c,No,No,Yes,Yes,No,Yes,No,No,Higher Institute of Administrative Sciences
b,c,No,No,No,No,Yes,No,No,Yes,Higher Institute of Administrative Sciences
b,b,No,No,No,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,d,No,No,Yes,No,No,Yes,No,No,Higher Institute of Administrative Sciences
b,a,No,No,No,Yes,No,Yes,No,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,No,Yes,Yes,No,Yes,No,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,Yes,Yes,Yes,No,No,Higher Institute of Administrative Sciences
a,c,No,No,Yes,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
a,d,Yes,No,No,Yes,No,No,No,Yes,Higher Institute of Administrative Sciences
b,d,No,No,Yes,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,No,Yes,No,Yes,No,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,No,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,a,No,No,No,No,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,c,No,No,Yes,Yes,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,No,No,No,Yes,No,Yes,Higher Institute of Administrative Sciences
b,c,No,No,No,Yes,No,Yes,No,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,No,No,No,No,No,No,Higher Institute of Administrative Sciences
b,d,No,No,Yes,Yes,No,Yes,Yes,No,Higher Institute of Administrative Sciences
b,a,No,No,No,No,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,No,Yes,No,No,Yes,No,Higher Institute of Administrative Sciences
b,c,Yes,No,No,No,Yes,No,No,Yes,Higher Institute of Administrative Sciences
b,a,Yes,No,No,Yes,No,Yes,No,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,c,No,No,Yes,No,Yes,Yes,No,Yes,Higher Institute of Administrative Sciences
b,c,Yes,No,No,No,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,c,No,No,No,No,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,a,No,No,No,Yes,Yes,Yes,No,No,Higher Institute of Administrative Sciences
b,b,Yes,No,No,Yes,Yes,No,No,Yes,Higher Institute of Administrative Sciences
b,a,No,No,No,Yes,No,No,No,Yes,Higher Institute of Administrative Sciences
b,d,No,No,No,Yes,No,Yes,Yes,No,Higher Institute of Administrative Sciences
b,d,No,No,No,Yes,No,Yes,No,No,Higher Institute of Administrative Sciences
b,a,Yes,No,Yes,Yes,No,Yes,Yes,No,Higher Institute of Administrative Sciences
b,a,No,No,Yes,Yes,No,Yes,No,Yes,Higher Institute of Administrative Sciences
b,d,No,No,Yes,Yes,Yes,Yes,Yes,No,Higher Institute of Administrative Sciences
b,d,Yes,No,No,No,No,No,No,No,Higher Institute of Administrative Sciences
b,c,Yes,No,No,No,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,b,Yes,No,Yes,No,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,a,No,No,No,Yes,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,a,No,No,No,Yes,Yes,Yes,Yes,No,Higher Institute of Administrative Sciences
b,b,No,No,No,Yes,Yes,No,No,No,Higher Institute of Administrative Sciences
c,d,No,No,Yes,Yes,No,No,No,Yes,Higher Institute of Administrative Sciences
b,a,No,No,Yes,Yes,Yes,No,No,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,Yes,Yes,No,No,No,Higher Institute of Administrative Sciences
b,d,No,No,Yes,Yes,Yes,Yes,No,Yes,Higher Institute of Administrative Sciences
b,d,No,No,No,No,No,No,Yes,Yes,Higher Institute of Administrative Sciences
b,b,No,No,No,No,No,No,No,No,Higher Institute of Administrative Sciences
b,b,No,No,Yes,No,No,No,Yes,No,Higher Institute of Administrative Sciences
b,b,Yes,No,No,Yes,No,Yes,Yes,No,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,Yes,No,No,Yes,Yes,Higher Institute of Administrative Sciences
c,d,No,No,Yes,Yes,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,No,No,No,No,Yes,Higher Institute of Administrative Sciences
b,d,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Higher Institute of Administrative Sciences
c,d,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
a,c,No,No,No,Yes,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,b,No,No,Yes,Yes,Yes,No,Yes,No,Higher Institute of Administrative Sciences
a,d,Yes,No,No,No,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,No,No,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,No,No,Yes,Yes,Yes,Higher Institute of Administrative Sciences
b,d,Yes,No,Yes,Yes,Yes,No,Yes,No,Higher Institute of Administrative Sciences
a,d,Yes,No,Yes,Yes,No,No,No,Yes,Higher Institute of Administrative Sciences
b,c,No,No,Yes,Yes,No,Yes,No,Yes,Higher Institute of Administrative Sciences
c,d,No,No,Yes,No,Yes,No,Yes,Yes,Higher Institute of Administrative Sciences
b,c,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Higher Institute of Administrative Sciences
